filePath,fileSize,timeTaken,numberOfExecutions,fileType
content/27233056-15dd-42c8-80ae-b75079afc4e9.jpg,96974,2.402,3,fmt/43
content/2a35f940-7f21-4f7f-9650-dc635319aa89.jpg,96926,2.502,3,fmt/43
content/848bd61c-9436-40d8-95eb-73e7c728e997.jpg,97032,2.163,3,fmt/43
content/87db940c-b865-474e-b415-55d402a0f2e0.jpg,97001,2.316,3,fmt/43
content/9f2a29b9-28fe-4fac-8a14-904727fc8071.jpg,96922,4.182,3,fmt/43
content/ada8af74-68f6-4b43-bf83-54bd03e2e7b1.jpg,96928,4.435,3,fmt/43
content/b1d51bc2-5b7b-4fe1-b93e-6b53daaa14eb.jpg,96938,2.385,3,fmt/43
content/c3a57a60-57fd-4011-84d5-5842c812caaa.jpg,96885,2.505,3,fmt/43
content/d29062c0-808f-4a02-a469-d69a8d635445.jpg,96996,4.25,3,fmt/43
content/eb321b34-8fad-4a43-86c4-78795e45277f.jpg,96969,2.253,3,fmt/43
